business_date;client_id;client_type;full_name;first_name;last_name;company_name;date_of_birth;registration_no;address_line_1;city;postal_code;country_code;pep_flag;high_risk_flag;client_status;document_id;tax_id;phone_number;email;kyc_status;risk_score;relationship_purpose_code;expected_activity_level;source_of_funds_declared;source_of_wealth_declared
2026-04-15;9501; private ;Dorothy Gale;Dorothy;Gale;;1989-01-15;;12 Yellow Brick Road;Warsaw;00-215; pl ;0;0; active ;XD-A1F4-C2E8-9501;TX-D0A5-17BC-9501;+9999501001;dorothy.gale.9501@demo-no-match.invalid; pass ;120; salary ; medium ;Salary;Employment
2026-04-15;9502;PRIVATE;Leia Organa;Leia;Organa;;1985-05-20;;18 Rebel Base Avenue;Gdansk;80-210;PL;1;0;ACTIVE;XD-B7C9-E4F1-9502;TX-1E4A-9B7D-9502;+9999502002;leia.organa.9502@demo-no-match.invalid;PASS;340; savings ; high ;Salary and bonuses;Employment
2026-04-15;9503;PRIVATE;Cruella De Vil;Cruella;De Vil;;1991-07-12;;4 Dalmatian Road;Poznan;60-312;PL;0;1;ACTIVE;XD-C3D8-A7E5-9503;TX-8F21-6C9A-9503;+9999503003;cruella.devil.9503@demo-no-match.invalid; review ;780; savings ; low ;Cash deposits;Undeclared
2026-04-15;9504; business ;Acme Metals Ltd;;;Acme Metals Ltd;;ACME-9504;7 Toon Harbor Park;Gdynia;81-339; de ;0;0;ACTIVE;XD-D4E7-B8F2-9504;TX-7A18-5D0C-9504;+9999504004;acme.metals.9504@demo-no-match.invalid;PASS;260; business_payments ; high ;Business revenue;Business
2026-04-15;9505;PRIVATE;Wendy Darling;Wendy;Darling;;1993-09-03;;25 Neverland Lane;Krakow;30-018;FR;0;1;ACTIVE;XD-E5F6-C9A3-9505;TX-6B27-4E1D-9505;+9999505005;wendy.darling.9505@demo-no-match.invalid;PASS;410; savings ; medium ;Savings;Employment
2026-04-15;9506;BUSINESS;Gringotts Trade Sp z o.o.;;;Gringotts Trade Sp z o.o.;;GRING-9506;90 Diagon Market Square;Wroclaw;50-102;PL;0;1;ACTIVE;XD-F6A5-D0B4-9506;TX-5C36-3F2E-9506;+9999506006;gringotts.trade.9506@demo-no-match.invalid;REVIEW;910;business_payments; medium ;Business revenue;Business
2026-04-15;9507;PRIVATE;Bilbo Baggins;Bilbo;Baggins;;1987-11-23;;3 Shire Close;Lodz;90-415;PL;0;0;ACTIVE;XD-A7B4-E1C5-9507;TX-4D45-2A3F-9507;+9999507007;bilbo.baggins.9507@demo-no-match.invalid;PASS;150;investment;LOW;Savings;Employment
2026-04-15;9508;PRIVATE;Aladdin Agrabah;Aladdin;Agrabah;;1990-02-14;;11 Magic Carpet Gate;Vilnius;01104;LT;0;1;ACTIVE;XD-B8C3-F2D6-9508;TX-3E54-1B4A-9508;+9999508008;aladdin.agrabah.9508@demo-no-match.invalid;LIMITED;640; remittance ; low ;Cash income;Undeclared
2026-04-15;9509;BUSINESS;Daily Planet Advisory SA;;;Daily Planet Advisory SA;;PLANET-9509;55 Metropolis Finance Street;Berlin;10117;DE;0;0;ACTIVE;XD-C9D2-A3E7-9509;TX-2F63-0C5B-9509;+9999509009;daily.planet.9509@demo-no-match.invalid;PASS;250;business_payments;low;Consulting revenue;Business
2026-04-15;9510;PRIVATE;Elsa Arendelle;Elsa;Arendelle;;1979-12-01;;44 Ice Palace Road;Warsaw;00-522;PL;0;0;ACTIVE;XD-D0E1-B4F8-9510;TX-1A72-9D6C-9510;+9999510010;elsa.arendelle.9510@demo-no-match.invalid;PASS;90; savings ; low ;Asset sale;Inheritance
